resource_name,asset_name,file_size,title,subject,description,contributor,period_date,digital_format,url_for_file,geo_coord_UTM,verified_gps_coords,resource_number,year,geo_coord_original,paper_page_number,Index Number,Volume,Title,Notes,description2,address
00000017.pdf,"Henry F. Eber and George Borman shooting ""craps"" at Lake Chabot",358.73 KB,"Henry F. Eber and George Borman shooting ""craps"" at Lake Chabot","| Lake, Chabot | Borman, George | Eber, Henry F. |","Several men kneel or stand under a tree. Among the people: Harry F. Eber (facing camera), George Borman (looking up), Fire Chief.",Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5154/0,,,,,,,00017,Vol. 1,Henry F. Eber and George Borman,,,
00000018.pdf,"Thierry's Residence, 1900",469.08 KB,"Thierry's Residence, 1900","| Dwellings -- California -- San Leandro | Family Portraits | Thierry, August Joseph | Thierry, Celine Lachat | Thierry, Camille | Thierry, Alphonse | Thierry, August |","The Thierry family pose outside their home on Washington Ave. August Joseph Thierry & wife Celine (Lachat) came from France, Tilo (32 mi south of Paris), Worked in nursery in SF, bone yard San Bruno, then opened a bar in San Leandro at 1323 Washington Ave., next to old 88-cent store and old Masonic Hall (1900 $22/mo lease Masonic Hall); children Camille b. 1886, Alphonse b. 1890, August B. 1889.",,ca. 1900,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5155/0,,,,1900,,,00018,Vol. 1,Thierry's Residence,,,
00000019.pdf,Barbecue at Sen. Landis,451.54 KB,Barbecue at Sen. Landis,"| Dwelling, Sen. Landis | Group portraits |",Nine men pose around a table in a backyard.,"Galvan, Andy",,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5156/0,,,,,,,00019,Vol. 1,Barbecue at Sen. Landis,,,
00000020.pdf,"Mulford Farm, Water Wagon, ca 1890",467.44 KB,"Mulford Farm, Water Wagon, ca 1890","| Carts & wagons | Shores Acres Dairy Ranch (Mulford Farm) | Mendonca, J. B. | Mendonca, Ira | Mendonca, Arthur | Lewis, Mae | Lewis, Joe | Portuguese in San Leandro |","Three women and two men pose on a water wagon at the Mulford farm. This 1890 photograph shows the Mendonca Ranch water wagon. Its operation was one of the most successful in the area. (Left to right): L.B. Mendonca, Ira Mondonca, (unknown), a cousin, Arthur Mendonca, Mae Lewis, Joe Lewis.","Galvan, Andy",ca. 1890,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5157/0,,,,1890,,,00020,Vol. 1,"Mulford Farm, Water Wagon, ca 1890",,,
00000021.pdf,"St. Leander's YMI No. 49 Parade, July 21, 1946",334.16 KB,"St. Leander's YMI No. 49 Parade, July 21, 1946","| Cross, Bill | Fialho, Tony | Lemos, Francis | Bellinghausen, Frank | Cardoza, Fred | Bento, Frank | Louis, John | Reshke, Andy | Gonzalves, Henry | Mendonca, George | St. Leander's Young Men's Institute |","Men, women, and children costumed as 49ers pose in front of a covered wagon. St. Leander's Council No. 49 participated with a 50 year old ""Covered Wagon"" and members dressed as 49'ers. The parade was held in Hayward. Bill Cross (kneeling in front), (Left to Right): Tony Fialho, Francis Lemos, Frank Bellinghausen, Fred Cardoza, Frank Bento, John Louis, Andy Reshke, Henry Gonzalves, George Mendonca. The ladies were not identified.","Galvan, Andy",07/21/1949,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5158/0,,,,1946,,,00021,Vol. 1,"St. Leander's YMI, 1946",,"St. Leander's YMI, 1946",
00000022.pdf,"Lake Chabot, 1915",420.08 KB,"Lake Chabot, 1915",| Chabot Reservoir -- California -- San Leandro |,A view of Lake Chabot and surrounding hills.,"Galvan, Andy",1915,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5159/0,,,22,1915,16E920,6,00022,Vol. 1,"Lake Chabot, 1915",,,
00000023.pdf,"Slate House, Lake Chabot, San Leandro, 1915",530.17 KB,"Slate House, Lake Chabot, San Leandro, 1915",| Dwellings | Chabot Reservoir-- California -- San Leandro | Lake Chabot | Chabot Dam | Homes |,Slate House situated at Lake Chabot in San Leandro. Chabot Dam Superintendent George Logan sitting on steps. The residence was built in 1904. Photograph 1915.,"Galvan, Andy",1915,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5160/0,,"[-122.12402, 37.73089]",23,1915,16E920,17,00023,Vol. 1,"Only Slate House in California, 1915",,"Only Slate House in California, 1915",
00000024.pdf,"San Leandro Brass Band, ca 1890",415.43 KB,"San Leandro Brass Band, ca 1890","| Brass bands | Portraits, Group | Tenny, Edward | Miller, Manuel | Wilson, Manuel | Victor, Tony | Frates, Manuel |","Ten band members pose with their instruments. Edward Tenny, Manuel Miller, Manuel Wilson, Tony Victor, Manuel Frates, (unknown).","Galvan, Andy",ca. 1890,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5161/0,,,,1890,,,00024,Vol. 1,"San Leandro Brass Band, ca 1890",,,
00000025.pdf,San Leandro Plaza,317.65 KB,San Leandro Plaza,| San Leandro Plaza | Aerial views | Washington Avenue | East 14th Street |,"San Leandro Plaza (Aerial View), 1950.","Galvan, Andy",ca. 1950,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5162/0,,,25,1950,10D724,11,00025,Vol. 1,"San Leandro Plaza (Aerial View), ca 1950",,"San Leandro Plaza (Aerial View), ca 1950",
00000026.pdf,San Leandro High School,497.49 KB,San Leandro High School,| San Leandro High School | Aerial views | Schools -- California -- San Leandro |,An aerial view shows San Leandro High School and several streets of homes.,Galvan,1950,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5163/0,,,,,,,00026,Vol. 1,"San Leandro High School (Aerial View), 1950",,"San Leandro High School (Aerial View), 1950",
00000027.pdf,Pelton Center,402.96 KB,Pelton Center,| Pelton Center | Aerial views | Shopping centers -- California -- San Leandro |,Aerial view of Pelton Center.,A. Galvan,1960,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5164/0,,,,,,,00027,Vol. 1,"Pelton Center (Aerial View), 1960",,"Pelton Center (Aerial View), 1960",
00000028.pdf,"St. Leander's YMI, 1/14/1949",398.43 KB,"St. Leander's YMI, 1/14/1949","| Portraits, Group | St. Leander's Young Men's Institute | Mendonca, George | Reshke, Andy | Cross, Bill | Sweeney, Bill | Cunliffe, Ed | Cannizzaro, Johnny | Bellinghausen, Frank | Alden, Ed | Fialho, Tony | Lemos, Francis | Woodke, Leo |","Eleven men pose with the St. Leander's YMI 49 banner. Front row: George Mendonca, director; Andy Reshke, recording secretary; Bill Cross, treasurer; Bill Sweeney, inside sentinel. Second row: Ed Cunliffe, outside sentinel; Johnny Cannizzaro, second vice-president; Frank Bellinghausen, director; Ed Alden, president; Tony Fialho, director; Francis Lemos, financial secretary; Leo Woodke, director. Officers not in picture: James Crank, 1st vice-president, A.J. Garcia, marshal.","Galvan, Andy",01/14/1949,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5165/0,,,,1949,,,00028,Vol. 1,"St. Leander's YMI, 1/14/1949",,,
00000029.pdf,"San Leandro Boys Club Band, 1916",425.03 KB,"San Leandro Boys Club Band, 1916","| San Leandro Boys Club Band | Portraits, Group |","The San Leandro Boys Club Band poses in marching formation during a parade. The club was organized on May 14th, with 60 original members. The boys participated in a gymnasium program and formed a band. Instruments were donated by the community. Photograph taken 1916.",A. Galvan,1916,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5166/0,,,29,1916,12D625,30,00029,Vol. 1,"San Leandro Boys Club Band, 1916",,,
00000030.pdf,"Columbia Gardens, Saloon, 1890",628.73 KB,"Columbia Gardens, Saloon, 1890","| Bars (Drinking establishments) -- California -- San Leandro | Columbia Gardens Saloon | Mr. Rego, BartenderStuffed animal headCash register |","Mr. Rego, bartender, poses in the saloon.","Galvan, Andy",1890,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5167/0,,,30,1890,12D426,36,00030,Vol. 1,"Columbia Gardens, Saloon, 1890",,,
00000031.pdf,"Haywards Hotel, ca 1916",467.76 KB,"Haywards Hotel, ca 1916",| Haywards Hotel | Hotels -- California -- Hayward |,"Haywards Hotel, 1916.","Galvan, Andy",ca. 1916,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5168/0,,,,1916,,,00031,Vol. 1,"Haywards Hotel, ca 1916",,,
00000032.pdf,"E. 14th St. at 141st Ave., 1943-45",206.74 KB,"E. 14th St. at 141st Ave., 1943-45","| East 14th Street (San Leandro, California) | 141st Avenue (San Leandro, California) |",View of E. 14th St. at 141st Ave.,"Clark, Ira",ca. 1943,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5169/0,,,32,1942,10E833,9,00032,Vol. 1,"E. 14th St. at 141st Ave., 1943-45",,,
00000033.pdf,"Eber Meat Market, ca 1875",708.04 KB,"Eber Meat Market, ca 1875",| Eber's Meat Market | East 14th Street | Stores and shops -- California -- San Leandro | MenWomenChildrenHorseBeef carcasses |,"Men, women, and children pose in front of a meat market. 1240 E. 14th St. where Gibson's Pharmacy was later. Note beef carcasses hanging at street curb.","Galvan, Andy",ca. 1875,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5170/0,,,33,1875,10D825,37,00033,Vol. 1,"Eber Meat Market, ca 1875",,,
00000034.pdf,"Alameda Hospital, ca 1890",332.26 KB,"Alameda Hospital, ca 1890",| Alameda Hospital | Hospitals -- California -- San Leandro |,"View of Alameda Hospital. Alameda Hospital, later site of Fairmont Hospital.",Andy Galvan,ca. 1890,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5171/0,,,,1890,,,00034,Vol. 1,"Alameda Hospital, ca 1890",,,
00000035.pdf,"Mulford Farm Harvest, ca 1900",470.78 KB,"Mulford Farm Harvest, ca 1900","| Shore Acres Farm & Dairy (Mulford Farm) | Threshing machine | Wheat | Farm equipment | Harvesting -- California -- San Leandro 1900-1910 | Farm equipment, including a threshing machineHorsesMen |",A view of wheat harvesting on the Mulford Farm.,A. Galvan,ca. 1900,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5172/0,,,,1910,,,00035,Vol. 1,"Mulford Farm Harvest, ca 1900",,,
00000036.pdf,"Old Corner, Gorman's Liquors, Gorman's Harness-Making, Reid's Carriage Trimming, 1875",387.73 KB,"Old Corner, Gorman's Liquors, Gorman's Harness-Making, Reid's Carriage Trimming, 1875","| Stores and shops -- California -- San Leandro 1870-1880 | Old Corner, Liquors Wholesale and Retail | Reid's Harness-Making and Carriage Trimming | Bars (Drinking establishments) -- California -- San Leandro 1870-1880 | Ward Avenue (Estudillo Avenue) | Gorman, John | Reid, William W. | Ury, David | Raveks, Henry John |","Men and children pose in front of stores along Ward Avenue. Ward Avenue (later Estudillo Avenue)between Haywards Road (later East 14th Street) and Watkins (later Washington Avenue). On the southwest corner of Ward and Haywards was The Old Corner, Liquors Wholesale and Retail, established sometime in the 1860s by John Gorman. Next door to Gorman's Saloon was William W. Reid's Harness-Making and Carriage Trimming Shop. David Ury is the man in the apron. Nearby are his small sons. Henry John Raveks is driving ""Jimmie"" Murphy's vegetable wagon. (Information from ""A San Leandro Centennial Album"", p. 30).","Galvan, Andy",ca. 1875,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5173/0,,,,1880,,,00036,Vol. 1,"Old Corner, Gorman's Liquors, Gorman's Harness-Making, Reid's Reid's Carriage Trimming, 1875",,"Old Corner, Gorman's Liquors, Gorman's Harness-Making, Reid's Reid's Carriage Trimming, 1875",
00000037.pdf,Intercoastal Paint,252.69 KB,Intercoastal Paint,| Intercoastal Paint Co. | San Leandro Fire Department | Fires -- California -- San Leandro |,The San Leandro Fire Department battles a fire at Intercoastal Paint.,Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5174/0,,,,,,,00037,Vol. 1,"Intercoastal Paint, ca 1890",,"Intercoastal Paint, ca 1890",
00000038.pdf,"Washington Market, Soebeler Watchmaker, and Beer Parlor, ca 1890",402.98 KB,"Washington Market, Soebeler Watchmaker, and Beer Parlor, ca 1890",| Washington Market | Soebeler Watchmaker & Jeweler | Gorman's Saloon | Stores and Shops | Bars (Drinking establishments) -- California -- San Leandro 1890-1900 |,"People pose in front of shops along Ward Street (now Estudillo). By about 1891-1896 when this picture was taken, Gorman's Saloon was still very much the same, but Reid's Harness Shop had become the Washington Market, whose choice cuts of meat are being aired outside. The next shop has a sign identifying the proprietor as a watchmaker and jeweller. Excluding the boys on the roof, the third man from the left may be Socrates Huff, and the fifth from the left is John (No-Hat)Driver. The owners of the shops also may be out in front. (Information from ""A San Leandro Centennial Album"" p. 31).","Galvan, Andy",ca. 1891 - 1896,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5175/0,,,,1900,,,00038,Vol. 1,"Washington Market, Soebeler Watchmaker, and Beer Parlor, ca 1890",,,
00000039.pdf,"Mulford Residence, ca 1890",334.68 KB,"Mulford Residence, ca 1890",| Dwellings -- Califiornia -- San Leandro 1890-1900 | Farms -- California -- San Leandro 1890-1900 | Shore Acres Dairy & Farm (Mulford Farm) | MenWomen CarriageHorsesWater pump and troughHayBarn |,"A view of the Mulford farm house. The view of the Mulford farm house also shows surrounding fields, four people sitting in a horse-drawn carriage, and a man and woman standing in front of the house.","Galvan, Andy",ca. 1890,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5176/0,,,39,1890,18C637,16,00039,Vol. 1,"Mulford Residence, ca 1890",,,
00000040.pdf,"Union School, 1890",335.46 KB,"Union School, 1890",| Union School -- California -- San Leandro | Schools -- California -- San Leandro 1800-1900 | Children -- California -- San Leandro 1890-1900 |,Children and teachers pose in front of Union School.,"Galvan, Andy",ca. 1890,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5177/0,,,,1900,,,00040,Vol. 1,"Union School, 1890",,,
00000041.pdf,"Thierry's Saloon, 1890",511.40 KB,"Thierry's Saloon, 1890","| Saloon, Thierry's | Mr. Thierry |","Mr. Thierry, Bartender.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5178/0,,,,1890,,,00041,Vol. 2,"Thierry's Saloon, 1890",,,
00000042.pdf,"Reunion W.W.II S. L. Residents, Apr. 1946",337.82 KB,"Reunion W.W.II S. L. Residents, Apr. 1946","| Veterans, Word War II | Portraits, Groups | Castro, George | Costa, Johnnie | Galvan, Frankie | Vigallon, Tony | Luciano, Mike | Sanchez Jr., Anthony | Moreno, Joe | Castro, Mike |","George Castro, Johnnie Costa, Frankie Galvan, Tony Vigallon, Mike Luciano, Anthony Sanchez Jr., Joe Moreno. Third from the right in the first row is Mike Castro.",Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5179/0,,,,1946,,,00042,Vol. 2,"Reunion W.W.II  S. L. Residents, Apr. 1946",,"Reunion W.W.II  S. L. Residents, Apr. 1946",
00000043.pdf,"Union School Class, 1890",349.79 KB,"Union School Class, 1890","| School, Union | Portraits, Group | Education |","Union School Class, 1890.",Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5180/0,,,,1890,,,00043,Vol. 2,"Union School Class, 1890",,,
00000044.pdf,"Early S. L. Group, ca 1910",606.83 KB,"Early S. L. Group, ca 1910","| Portraits, Groups |","Early S.L. Group, ca 1910.",Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5181/0,,,,1910,,,00044,Vol. 2,"Early S. L. Group, ca 1910",,,
00000045.pdf,"Pile Driving, Mulford Gard., ca 1910",453.20 KB,"Pile Driving, Mulford Gard., ca 1910",| Wharves and Harbors | Pile Driving | Mulford Landing |,"Pile Driving, Mulford Gard., ca 1910.",Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5182/0,,,,1910,,,00045,Vol. 2,"Pile Driving, Mulford Gard., ca 1910",,,
00000046.pdf,"Early Airplane, ca 1927",500.38 KB,"Early Airplane, ca 1927",| Aircraft | Hirschmann |,Hirschmann.,Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5183/0,,,,1927,,,00046,Vol. 2,"Early Airplane, ca 1927",,,
00000047.pdf,"San Leandro Brass Band, ca 1920",391.33 KB,"San Leandro Brass Band, ca 1920","| Band, San Leandro | Band, Brass | Performing Arts | Events, Public |","San Leandro Brass Band, ca 1920.",Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5184/0,,,,1920,,,00047,Vol. 2,"San Leandro Brass Band, ca 1920",,,
00000048.pdf,"Union School Class, ca 1900",574.38 KB,"Union School Class, ca 1900","| School, Union | Portraits, Group | Langdon, William | Education |",Principal William Langdon is at the far right of the front row.,A. Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5185/0,,,,1900,,,00048,Vol. 2,"Union School Class, ca 1900",,,
00000049.pdf,"Blacksmith Shop at Ashland, ca 1890",504.06 KB,"Blacksmith Shop at Ashland, ca 1890","| Shop, Blacksmith | Trades | Mendonca, George | Jacobson's Blacksmith Shop | Ashland Avenue |","People identified by Arthur Mendonca: George Mendonca, Jacobson's Blacksmith Shop, unknown.",A. Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5186/0,,,,1890,,,00049,Vol. 2,"Blacksmith Shop at Ashland, ca 1890",,,
00000050.pdf,"Henry Borman's Grocery, 1900",599.68 KB,"Henry Borman's Grocery, 1900","| Stores and Shops | Henry Borman's Grocery | Borman, Henry | Eber, Budd | East 14th Street |",Located on E. 14th St. opposite the Plaza. Henry Borman shown in picture with Budd Eber on the right.,Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5187/0,,,,1900,,,00050,Vol. 2,"Henry Borman's Grocery, 1900",,,
