resource_name,asset_name,file_size,title,subject,description,contributor,period_date,digital_format,url_for_file,geo_coord_UTM,verified_gps_coords,resource_number,year,geo_coord_original,paper_page_number,source_index,Index Number,Volume,Title,Notes,description2,address
00000386.pdf,"Historical Landmark Committee Picnic, 1966",411.35 KB,"Historical Landmark Committee Picnic, 1966","| Historical Landmark Committee | Other Recreation and Sports | Mulford Point | Deadrich, John | Portraits, Group | Ewing, Stephen D. | Gillock, Albert F. | Galvan, Andy | Suerstedt, William F. | Lord, Mrs. |","Mulford Point. John Deadrich, unknown, Stephen D. Ewing, Albert F. Gillock, Andy Galvan, William F. Suerstedt, Mrs. Lord.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5520/0,"[-122.18912822658419, 37.70052381550511]",,386,1966,B74618,7,S,00386,Vol. 10,"Historical Landmark Committee Picnic, 1966",,,
00000130.pdf,"San Leandro Plaza, ca 1905",386.02 KB,"San Leandro Plaza, ca 1905","| Street, Estudillo | Street, East 14th | Plaza, San Leandro | Holmgren's Store | Stores and Shops | Oddfellows Hall | Automobiles and Trucks | Carriages and Coaches | San Leandro Hotel | Hotels and Motels | San Leandro Bank | Other Businesses | Services |","Note Holmgren's store in the new wing of the Oddfellows Hall, the closed carriage passing the horseless carriage at the corner of E. 14th St. and Estudillo, and the glimpse of buildings on Estudillo.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5266/0,"[-122.18443789158712, 37.714156224423604]",,130,1905,B93510,11,S,00130,Vol. 4,"San Leandro Plaza, ca 1905",,,
00000138.pdf,"Norman Duck Club, ca 1920",349.51 KB,"Norman Duck Club, ca 1920","| Norman Duck Club | Organizations | Street, Davis | Cody, Frank | Automobiles and Trucks | Portraits, Men |",Located at the foot of Davis St. Frank Cody is the middle of the three men shown.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5274/0,"[-122.18442002638585, 37.71423129135407]",,138,1920,B93512,9,S,00138,Vol. 4,"Norman Duck Club, ca 1920",,,
00000141.pdf,"Duck Hunting, ca 1920",472.27 KB,"Duck Hunting, ca 1920","| Duck Hunting | Hunting | Cody, Frank | Portraits, Men |",Frank Cody is on the left.,Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5277/0,"[-122.18446254912894, 37.71434943835735]",,141,1920,B93512,37,S,00141,Vol. 4,"Duck Hunting, ca 1920",,,
00000232.pdf,"Grand Opening of San Leandro Marina, 1959",291.42 KB,"Grand Opening of San Leandro Marina, 1959",| San Leandro Marina | Aircraft | Public Events |,Launching Ramp. Representative of California Harbors and Watercraft.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5367/0,"[-122.1837735482497, 37.70529977696679]",,232,1959,B94218,28,S,00232,Vol. 6,"Grand Opening of San Leandro Marina, 1959",,,
00000240.pdf,"San Leandro Shoreline, ca 1920",364.43 KB,"San Leandro Shoreline, ca 1920","| Beaches | Street, 1st Ave. | Street, Marina Blvd. |",Looking south from 1st Ave. (Now Marina Blvd.),,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5375/0,"[-122.18446192695646, 37.70547841053078]",,240,1920,B94218,7,S,00240,Vol. 6,"San Leandro Shoreline, ca 1920",,,
00000211.pdf,"Marina Dredging, ca 1950",360.08 KB,"Marina Dredging, ca 1950",,"Clamshell dredge, 248 ft. (?) boom, 5 yard bucket. Moves about 2,000 cubic yards every 8 hours.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5347/0,"[-122.18514794472128, 37.70130544668059]",,211,1950,B94518,7,S,00211,Vol. 6,"Marina Dredging, ca 1950",,,
00000212.pdf,"Small Craft Harbor Commission, 1959",255.56 KB,"Small Craft Harbor Commission, 1959","| Small Craft Harbor Commission | Wharves and Harbors | San Leandro Marina | McClure, Wes | Aircraft, Helicopter |","Opening of launching ramp at San Leandro Marina. Wes McClure, City Manager (?)",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5348/0,"[-122.18540738014705, 37.70194386751501]",,212,1959,B94518,7,S,00212,Vol. 6,"Small Craft Harbor Commission, 1959",,,
00001469.pdf,Land Grant Map,524.17 KB,Land Grant Map,,San Antonio and San Leandro.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6597/0,"[-122.18033058724305, 37.7070210364628]",,1469,1890,C14112,3,S,01469,Vol. 37,Land Grant Map,,,
00001470.pdf,"Home of Captain Mulford, ca 1890",315.94 KB,"Home of Captain Mulford, ca 1890",,"Home of Captain Mulford, ca 1890.",Mathews,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6598/0,"[-122.17967772780578, 37.70603500606662]",,1470,1890,C14118,16,S,01470,Vol. 37,"Home of Captain Mulford, ca 1890",,,
00000760.pdf,"Baseball Team Champs. Friden Calculators Industrial Leagues, 1947",344.46 KB,"Baseball Team Champs. Friden Calculators Industrial Leagues, 1947",,"Baseball Team Champs. Friden Calculators Industrial Leagues, 1947.",Andy Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5894/0,"[-122.17966102559694, 37.70446037332051]",,760,1881,C14318,16,S,00760,Vol. 19,"Baseball Team Champs. Friden Calculators Industrial Leagues, 1947",,,
00000610.pdf,"Railroad Crossing at Davis Street, taken in 1969",368.99 KB,"Railroad Crossing at Davis Street, taken in 1969",,"Railroad Crossing at Davis Street, taken in 1969.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5744/0,"[-122.17922184549077, 37.72171069939343]",,610,1969,C22912,10,S,00610,Vol. 16,"Railroad Crossing at Davis Street, taken in 1969",,,
00000039.pdf,"Mulford Residence, ca 1890",334.68 KB,"Mulford Residence, ca 1890",| Dwellings -- Califiornia -- San Leandro 1890-1900 | Farms -- California -- San Leandro 1890-1900 | Shore Acres Dairy & Farm (Mulford Farm) | MenWomen CarriageHorsesWater pump and troughHayBarn |,"A view of the Mulford farm house. The view of the Mulford farm house also shows surrounding fields, four people sitting in a horse-drawn carriage, and a man and woman standing in front of the house.","Galvan, Andy",ca. 1890,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5176/0,"[-122.16955482110806, 37.71108650839477]",,39,1890,C63718,16,S,00039,Vol. 1,"Mulford Residence, ca 1890",,,
00000706.pdf,"Shack at Oyster Bed, 1890",284.60 KB,"Shack at Oyster Bed, 1890",,"Mulford landing. Full written text may read ""where fried oysters first begin""",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5840/0,"[-122.16996786643591, 37.71194026132398]",,706,1890,C63718,7,S,00706,Vol. 18,"Shack at Oyster Bed, 1890",,,
00000718.pdf,Mendoza Place in Mulford Gardens located at Merced and Marina,226.21 KB,Mendoza Place in Mulford Gardens located at Merced and Marina,,Putting in a dock.,Andy Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5852/0,"[-122.17069503770993, 37.71123392333731]",,718,1900,C63718,7,S,00718,Vol. 18,Mendoza Place in Mulford Gardens located at Merced and Marina. Putting in a Dock.,,Mendoza Place in Mulford Gardens located at Merced and Marina. Putting in a Dock.,
00000553.pdf,"Employees of C. L. Best Foundry, 1920",307.96 KB,"Employees of C. L. Best Foundry, 1920",,"Eddie Miller, ""Derby"", Bill Mathews.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5687/0,"[-122.1680859396163, 37.73711075772552]",,553,1920,C71792,31,S,00553,Vol. 14,"Employees of C. L. Best Foundry, 1920",,,
00000564.pdf,"Home of Robert H. Collins, ca 1920",272.26 KB,"Home of Robert H. Collins, ca 1920",,Mulford Gardens.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5698/0,"[-122.16854164089114, 37.717542086083114]",,564,1920,C73218,36,S,00564,Vol. 15,"Home of Robert H. Collins, ca 1920",,,
00000552.pdf,"Polvorosa Boys, 1923",247.28 KB,"Polvorosa Boys, 1923",,"141 Dabner St. Frank Polvorosa, Julian Polvorosa, Sr., Tony Polvorosa.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5686/0,"[-122.15876118673346, 37.72573135900073]","[-122.167797,37.723329]",552,1923,D22626,16,S,00552,Vol. 14,"Polvorosa Boys, 1923",,,141 Dabner St
00001711.pdf,"Farrelly House, ca 1910",279.90 KB,"Farrelly House, ca 1910",,"Farrelly House, ca 1910.",Henry Jones,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6827/0,"[-122.15540252792104, 37.73500043062541]",,1711,1910,D31813,14,S,01711,Vol. 43,"Farrelly House, ca 1910",,,
00000548.pdf,"Best Manufacturing Company, 1906",273.01 KB,"Best Manufacturing Company, 1906",,"Davis Street. Standing far left, Clarence Leo Best. Second row from back: 8th from right, Mr. Harding; 12th from right, Bill Burnett; 13th from right, Arthur Larsen, Sr. (Bat's father); Third row from back, 5th from right, Otto Best; far left, Zacharia Best; 4th row from back, 5th from right, Dick Richards.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5682/0,"[-122.15566977954637, 37.72558916511032]",,548,1906,D32612,26,S,00548,Vol. 14,"Best Manufacturing Company, 1906",,,
00001538.pdf,"Best Manufacturing Company, San Leandro Group Photograph, ca 1897",436.37 KB,"Best Manufacturing Company, San Leandro Group Photograph, ca 1897",,"Row 1: Danny Best (1), Mr. Baumberger (5), Otto Best (7), Mr. Whitcomb (10), Mr. B.R. Baumberger (12); Row 2: Mr. Reed (2), Painter Johnson (10), Mr. Toffelmeir (11), Mr. Beard Reed (13), Father Peralta (16); Row 4: Geo Flint (1), C.L. Best (2), Forem Hoffmaster (5), Dick Richard (13), Harding (17), Sam Best (21), Mr. Peters (23), Mr. Larson (24); Row 5: Irish Brick (3), Daniel Best (7), Kenny (12); Row 6: Frank Dobbs Best (2), Larson (4), Morgan (6).",Galloway,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6666/0,"[-122.15675765493796, 37.72585836854354]",,1538,1904,D32612,28,S,01538,Vol. 39,"Best Manufacturing Company, San Leandro Group Photograph, ca 1897","photo is reversed? See also #224, #508",,
00000198.pdf,"Still During Prohibition, the Result of 1917 a Raid",331.68 KB,"Still During Prohibition, the Result of 1917 a Raid",,"Deputy Marshal, Louis Bacon; City Marshal, Joseph Peralta. Taken behind the city jail.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5334/0,"[-122.15516525449851, 37.72585280688832]",,198,1917,D32626,35,S,00198,Vol. 5,"Still During Prohibition, the Result of 1917 a Raid",,,
00001900.pdf,"Broadmoor Home Development, ca 1910",167.09 KB,"Broadmoor Home Development, ca 1910",,"Broadmoor Home Development, ca 1910.",Andy Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/7013/0,"[-122.15345943386384, 37.73591808474863]",,1900,1910,D41810,7,S,01900,Vol. 48,"Broadmoor Home Development, ca 1910",,,
00001901.pdf,"Broadmoor Home Development, ca 1910",201.66 KB,"Broadmoor Home Development, ca 1910",,14th Street Entrance.,Andy Galvan,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/7014/0,"[-122.15376773082573, 37.73483995337039]",,1901,1910,D41810,9,S,01901,Vol. 48,"Broadmoor Home Development, ca 1910",,,
00001491.pdf,New Best Steam Harvesters in 1889 - advertisement,350.00 KB,New Best Steam Harvesters in 1889 - advertisement,,"Plowing and harvesting by steam, a success.",Terry Galloway,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6619/0,"[-122.15308182824218, 37.72681036136339]",,1491,1889,D42512,1,S,01491,Vol. 38,New Best Steam Harvesters in 1889,,,
00001526.pdf,"Caterpillar Tractor Co., Peoria, Illinois",421.75 KB,"Caterpillar Tractor Co., Peoria, Illinois",,"This caption appears with this photo: Appearance of a photographer in the field meant a lengthy work stoppage, as all hands mugged the camera. Mother and daughter dropped harvest time meal preparations long enough to don their Saturday night best and get into the act.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6654/0,"[-122.15413961047835, 37.72668056812438]",,1526,1904,D42512,25,S,01526,Vol. 39,"Caterpillar Tractor Co., Peoria, Illinois",,,
00001531.pdf,"Best Sixty Tractor Pulling Wagons, Max Penker and Sons, Cincinnati, Ohio",381.08 KB,"Best Sixty Tractor Pulling Wagons, Max Penker and Sons, Cincinnati, Ohio",,"Best Sixty Tractor Pulling Wagons, Max Penker and Sons, Cincinnati, Ohio.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6659/0,"[-122.15464405939578, 37.72703980218968]",,1531,1904,D42512,28,S,01531,Vol. 39,"Best Sixty Tractor Pulling Wagons, Max Penker and Sons, Cincinnati, Ohio",,,
00001929.pdf,"Employees of Best Foundry, ca 1900",252.82 KB,"Employees of Best Foundry, ca 1900",,"Joe DeMonte, William Focha.",Correia,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/7042/0,"[-122.15471854188755, 37.72654684127991]",,1929,1900,D42512,25,S,01929,Vol. 49,"Employees of Best Foundry, ca 1900",,,
00000030.pdf,"Columbia Gardens, Saloon, 1890",628.73 KB,"Columbia Gardens, Saloon, 1890","| Bars (Drinking establishments) -- California -- San Leandro | Columbia Gardens Saloon | Mr. Rego, BartenderStuffed animal headCash register |","Mr. Rego, bartender, poses in the saloon.","Galvan, Andy",1890,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5167/0,"[-122.15415861289188, 37.725011498890666]",,30,1890,D42612,36,S,00030,Vol. 1,"Columbia Gardens, Saloon, 1890",,,
00000073.pdf,"Columbia Gardens Saloon, ca 1890",502.99 KB,"Columbia Gardens Saloon, ca 1890",| Columbia Gardens Saloon | Restaurants and Bars | Alvarado Street | Davis Street | Mr. Regio |,"NW of Alvarado and Davis. Regio, bartender. Careful examination of the calendar and wall pad in the picture places the date as November 21, 1914. Colored glass windows, ornate woodwork and the decorated walls were typical of salloons from the 1890's on through this period. Note, however, that Columbia Gardens has electric lights.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5210/0,"[-122.15285800159842, 37.72474814675912]",,73,1890,D42612,36,S,00073,Vol. 2,"Columbia Gardens Saloon, ca 1890",,,
00000157.pdf,"C. L. Best Gas Traction Co., 1915",411.55 KB,"C. L. Best Gas Traction Co., 1915","| Other Businesses | C. L. Best Gas Traction Co. | Portraits, Group | Portraits, Men |","C. L. Best Gas Traction Co., 1915.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5293/0,"[-122.15317823741829, 37.72486037758674]",,157,1915,D42612,31,S,00157,Vol. 4,"C. L. Best Gas Traction Co., 1915",,,
00000444.pdf,"C. L. Best Gas Tractor Co., 1913",340.30 KB,"C. L. Best Gas Tractor Co., 1913","| C.L. Best Gas Tractor Co. | Street, Davis | Portraits, Men | Portraits, Group |","Davis St. Print reversed, see mirrored sign on the right.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5578/0,"[-122.15372022558485, 37.72556586437644]",,444,1913,D42612,36,S,00444,Vol. 12,"C. L. Best Gas Tractor Co., 1913",,,
00000509.pdf,"San Leandro Plow Company, Later Best Agricultural Works, 1883 or 84",410.89 KB,"San Leandro Plow Company, Later Best Agricultural Works, 1883 or 84","| San Leandro Plow Co. | Best Agricultural Works | Caterpillar Tractor Co. | Portraits, Men | Portraits, Group | Flury, Henry | Ore, Morris | Durning, Al | Allen, George | Holland, Nole | Herin, George | Crompton, Charley | Davis, George | Olimpia, Joe | Rosson, Dr. | Focha, Joe | Dica, George | August, Joe | Morgan, Tom | Dasha, Sam | Halford, Joe | Brown, Henry | Murray, Bill | Burnett, Bill | Focha, Billie | Hanson, Nels | Wren, Bob | Freitas, Joe | Hanson, Pete | Halford, Charley | Foster, Manuel | Quinn, Jim | Dunn, Jim | August, Tony | Rowland, Charley |","Now the Caterpillar Tractor Company. Top row, standing: Henry Flury, Morris Ore. Top row, seated: Al Durning, George Allen, Nole Holland, George Herin, Charley Crompton, George Davis, Joe Olimpia, Dr. Rosson. Second row: Joe Focha, George Dica, Joe August, Tom Morgan, Sam Dasha, Joe Halford, Henry Brown, Bill Murray, Bill Burnett. Third row: Billie Focha, Nels Hanson, Bob Wren, Joe Freitas, Pete Hanson, Charley Halford, Manuel Foster, Jim Quinn. Front row: Jimm Dunn, Tony August, Charley Rowland.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5643/0,"[-122.15278898817431, 37.72478333609948]",,509,1883,D42612,23,S,00509,Vol. 13,"San Leandro Plow Company, Later Best Agricultural Works, 1883 or 84",,,
00000517.pdf,"C. L. Best Foundry, 1910-'20's",276.75 KB,"C. L. Best Foundry, 1910-'20's",,Davis St. San Leandro.,,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5651/0,"[-122.1533889199576, 37.72506577604697]",,517,1898,D42612,31,S,00517,Vol. 13,"C. L. Best Foundry, 1910-'20's",,,
00000556.pdf,"Charles Rantzau's Cherry Orchard, 1900",421.92 KB,"Charles Rantzau's Cherry Orchard, 1900",,"Davis St. across from Thrasher Park. Charles Rantzau, Jack Thomas, Mr. King.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5690/0,"[-122.1539085945776, 37.72554529805585]",,556,1900,D42612,32,S,00556,Vol. 14,"Charles Rantzau's Cherry Orchard, 1900",,,
00001539.pdf,"Best Tractors at Work, 1904",424.91 KB,"Best Tractors at Work, 1904",,Daniel Best and Employees.,Galloway,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6667/0,"[-122.15458851427533, 37.7254307248235]",,1539,1897,D42612,26,S,01539,Vol. 39,"Best Tractors at Work, 1904",,,
00001580.pdf,"Best Agricultural Works, ca 1887",352.06 KB,"Best Agricultural Works, ca 1887",,"Row 1: Henry Flury, Morris Ore; Row 2: Al During, George Allen, Nole Holland, George Merim, Charley Crompton, George Davis, Joe Limpis, Dr. Rasson; Row 3: Joe Focha, George Dica, Joe August, Tom Morgan, Sam Dasha, Joe Halford, Henry Brown, Bill Murray, Bill Burnett; Row 4: Billy Focha, Neis Hanson, Bob Wrenn, Joe Freitas, Pete Hanson, Tony August, Charley Rowland.",Galloway,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6707/0,"[-122.15360442977833, 37.72503014496004]",,1580,1887,D42612,23,S,01580,Vol. 40,"Best Agricultural Works, ca 1887",,,
00001050.pdf,"Alameda County Map from Atlas by Thompson and West, 1848",596.36 KB,"Alameda County Map from Atlas by Thompson and West, 1848",,"Oakland Township, Brooklyn Township, Eden Township, Washington Township, Murphy Township.",Thompson and West,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6183/0,"[-122.15188194133172, 37.733392671021605]",,1050,1878,D52000,4,S,01050,Vol. 27,"Alameda County Map from Atlas by Thompson and West, 1848",,,
00001080.pdf,"Home of Ignacio Peralta, Alta Mira Club, ca 1860",318.61 KB,"Home of Ignacio Peralta, Alta Mira Club, ca 1860",,"Home of Ignacio Peralta, Alta Mira Club, ca 1860.",Library,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6213/0,"[-122.15188867737548, 37.7324814582837]",,1080,1860,D52019,17,S,01080,Vol. 27,"Home of Ignacio Peralta, Alta Mira Club, ca 1860",,,
00000908.pdf,"Leslie J. Freeman, 1912",942.64 KB,"Leslie J. Freeman, 1912",,"Leslie J. Freeman, 1912.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6042/0,"[-122.15241638954984, 37.73184348749525]",,908,1912,D52110,19,S,00908,Vol. 23,"Leslie J. Freeman, 1912",,,
00000004.pdf,"Peralta Home, 1860",784.99 KB,"Peralta Home, 1860","| Peralta , Ygnacio | Toler, William P. | Alta Mira Club -- California -- San Leandro | Historic Landmarks - California - San Leandro | Lafayette Street | HouseBarnPeople |","Peralta home with people in front and outbuildings visible in back. Home of Ygnacio Peralta, built by son-in-law William P. Toler in 1860. The man on the porch is believed to be Ygnacio Peralta, and the woman may be his wife Rafaele. The home at 561 Lafayette Street is now the Alta Mira Club House and Historical Landmark #285. 8x10 bw print; 4x5 copy neg.","Galvan, Andy",ca. 1860,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5141/0,"[-122.15181210968625, 37.73187868185981]",,4,1860,D52119,16,S,00004,Vol. 1,"Peralta Home, 1860",,,
00001632.pdf,"New Officers, Alta Mira Club, Originally Ygnacio Peralta home, built in 1860, California Historical Landmark #285",537.66 KB,"New Officers, Alta Mira Club, Originally Ygnacio Peralta home, built in 1860, California Historical Landmark #285",,"Left to right: Mrs. Arthur C. Bryant, Auditor; Mrs. V. David Park, Correspondence Secretary; Mrs. Thomas J. Rogers, Directory of Hospital; Mrs. Russel D. Smart, Secretary; Mrs. John Wells, Treasurer; Mrs. Howard McCarthy First Vice President; Mrs. Jacob Maasdaam, Installation Officer; Mrs. Frank B. Toner, President; Mrs. Roy Johnson, Second Vice President; Mrs. M.F. Kiel, Rental Chairman.",Mrs. Frank Toner,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/6758/0,"[-122.15152854706442, 37.73134238404933]",,1632,1971,D52119,17,S,01632,Vol. 41,"New Officers, Alta Mira Club, Originally Ygnacio Peralta home, built in 1860, California Historical Landmark #285",,,
00000596.pdf,"A 1962 Aerial View of San Leandro, East Northeast along the San Leandro Creek, from the Southern Pacific Railroad to the Hills",560.76 KB,"A 1962 Aerial View of San Leandro, East Northeast along the San Leandro Creek, from the Southern Pacific Railroad to the Hills",,"A 1962 Aerial View of San Leandro, East Northeast along the San Leandro Creek, from the Southern Pacific Railroad to the Hills.",,,PDF,https://sanle.ent.sirsi.net/client/en_US/search/asset/5730/0,"[-122.15191975699278, 37.727219417933846]",,596,1962,D52412,7,S,00596,Vol. 15,"A 1962 Aerial View of San Leandro, East Northeast along the San Leandro Creek, from the Southern Pacific Railroad to the Hills",,,
